0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1452,Rafael Duarte Diniz,Brazil,Male,M40-44,25,9:28:23,125,1:00:34,333,5:02:18,156,3:17:27,146,Finisher
111,Aparecido De Queiroz Junior,Brazil,Male,M30-34,20,9:28:45,126,1:00:49,350,4:54:22,68,3:26:04,229,Finisher
1631,Ricardo Sizuki,Brazil,Male,M45-49,13,9:28:48,127,55:39,111,5:05:30,194,3:19:05,166,Finisher
1040,Robson Carvalho,Brazil,Male,M40-44,26,9:28:52,128,55:39,112,5:18:42,400,3:06:53,58,Finisher
218,Guilherme Mari,Brazil,Male,M30-34,21,9:29:20,129,54:40,87,5:05:14,193,3:22:55,202,Finisher
868,Robertson Batista De Souza,Brazil,Male,M35-39,32,9:29:34,130,59:20,247,5:10:21,249,3:12:54,99,Finisher
1367,Simon Patrick,Brazil,Male,M40-44,27,9:29:37,131,57:18,162,4:57:25,100,3:26:57,239,Finisher
1282,Mauro Brito Brandao,Brazil,Male,M40-44,28,9:29:47,132,56:03,123,5:06:26,206,3:18:40,156,Finisher
1883,Federico Schneeberger,Argentina,Male,M50-54,3,9:29:55,133,57:14,160,5:07:34,219,3:17:14,143,Finisher
651,Igor Nicolau Pinto,Brazil,Male,M35-39,33,9:29:57,134,1:02:45,463,4:56:50,91,3:22:57,203,Finisher
596,Felipe Lacerda,Brazil,Male,M35-39,34,9:30:07,135,58:59,239,5:01:05,140,3:17:16,144,Finisher
1403,José Alcides De Souza Junior,Brazil,Male,M40-44,29,9:30:10,136,52:35,44,4:52:35,54,3:36:33,378,Finisher
901,Daniel Grande,Brazil,Male,M35-39,35,9:30:14,137,1:03:17,501,5:04:47,186,3:15:30,130,Finisher
1536,Wyllo Ferreira Junior,Brazil,Male,M45-49,14,9:31:05,138,1:01:05,366,4:52:32,51,3:30:28,278,Finisher
394,Mariana Penatti,Brazil,Female,F35-39,2,9:31:11,139,55:18,98,4:59:54,121,3:28:27,255,Finisher
584,Gabriel Paiva Hermann,Brazil,Male,M25-29,9,9:31:33,140,52:44,49,5:09:49,243,3:21:37,193,Finisher
679,Arthur Werneck,Brazil,Male,M35-39,36,9:31:43,141,1:00:28,330,5:04:27,180,3:17:03,141,Finisher
1195,Oberdan Ferreira,Brazil,Male,M40-44,30,9:31:50,142,49:37,20,4:54:36,70,3:42:01,472,Finisher
563,Leonardo Alckmin,Brazil,Male,M25-29,10,9:32:00,143,52:23,42,4:50:55,43,3:41:36,466,Finisher
1654,Rangel Rodrigues,Brazil,Male,M45-49,15,9:32:09,144,1:01:00,362,5:11:02,260,3:12:38,98,Finisher
1540,Rodrigo Teixeira Da Silva,Brazil,Male,M45-49,16,9:33:06,145,1:11:33,1010,5:12:34,285,2:56:49,19,Finisher
1166,Sebastian Carella,Argentina,Male,M40-44,31,9:33:11,146,1:02:38,459,4:55:50,82,3:29:13,264,Finisher
1707,Rodrigo Hanri Altafini,Brazil,Male,M45-49,17,9:33:26,147,53:42,73,4:59:33,117,3:32:43,311,Finisher
1857,Pablo Conti,Argentina,Male,M50-54,4,9:33:26,148,1:09:41,890,4:58:15,108,3:18:07,152,Finisher
299,Gustavo Isler,Brazil,Male,M35-39,37,9:33:45,149,1:03:15,498,5:00:57,138,3:21:28,190,Finisher
734,Carlos Diniz,Brazil,Male,M35-39,38,9:34:16,150,1:03:26,511,5:12:05,280,3:10:29,86,Finisher
341,Rudi Eduardo Paetzold,Brazil,Male,M35-39,39,9:34:21,151,1:04:15,555,5:05:57,201,3:13:39,103,Finisher
769,Henrique Veras,Brazil,Male,M35-39,40,9:35:21,152,58:36,218,5:11:59,277,3:14:43,122,Finisher
